portugues,Tupi_Referencia,Tupi_via_Guarani,Tupi_direto
bico,fi,poti'a (m),fi
beija,flor,i xupé,flor
"Desde a Galiléia, sua origem","Galilea suí katu, i ypyrunga","Galilea suí katu, i rura suí","Galilea suí katu, i ypyrunga"
mangue,gfiapara'yba; sere'yba,mangaby,gfiapara'yba; sere'yba
andar,gfiatá,gfiatá,gfiatá
inteiramente,gfietépe,gfietépe,gfietépe
ave,gfiyrá,gtlyrá; (passarinho): guyra'i passear,gfiyrá
fundo (= parte inferior),gfiyra; typy furado,ybyrá,gfiyra; typy furado
galinha,gfiyrasapukaia,taîasu,gfiyrasapukaia
guerreiro,gftarini; kyre'ymbaba,gftarini; kyre'ymbaba,gftarini; kyre'ymbaba
apagar,gfteb,momburu,gfteb
queda,gftyapy1; kuia (v kui); 'araba (v 'ar4) queimar,ar,gftyapy1; kuia (v kui); 'araba (v 'ar4) queimar
tambor,giiarará,giiarará,giiarará
encontrar,giiasem; basem; obaiti (s) encostar,îekosub,giiasem; basem; obaiti (s) encostar
apagado,gíieb,rab (,gíieb
abaixo (de),giiyri,ybype,giiyri
baixar (intr),gíleiyb,gíleiyb,gíleiyb
descer,gíleiyb # descer com; fazer descer con sigo: erogileiyb,gíleiyb # descer com; fazer descer con sigo: erogileiyb,gíleiyb # descer com; fazer descer con sigo: erogileiyb
caminhada,gOatá,erekó,gOatá
galo,gôyrasapukaia,taîasu,gôyrasapukaia
garça,gôyratinga,andub,gôyratinga
A graça que ele dá não acaba,Graça semime'enga n'opabi,Moraseîa semime'enga n'opabi,Graça semime'enga n'opabi
A graça que ele dá não acaba,Graça semime'enga n'opabi,Moraseîa semime'enga n'opabi,Graça semime'enga n'opabi
"Graça é seu nome, eis que esta é a que deve ser chamada ""tua rainha""","Grácia sera, kó nde rainhamo senõîmbyra","Grácia sera, kó nde rainha 'îaba","Grácia sera, kó nde rainhamo senõîmbyra"
se1 (índice de indeterminação do sujeito),gtiá; ybá; ybyá,gtiá; ybá; ybyá,gtiá; ybá; ybyá
pássaro,gtlyrá; (passarinho): guyra'i passear,gtlyrá; (passarinho): guyra'i passear,gtlyrá; (passarinho): guyra'i passear
altibaixos,gûa'agûa'a,aso'iaba,gûa'agûa'a
"armadilha de ratos, ratoeira",gûabiru rupîara,gûabiru rupîara,gûabiru rupîara
Trouxe as velhas de além de Magueá,Gûaîbĩ aru amõ Magûeá suí,Magûeá suí gûaîbĩ aru,Gûaîbĩ aru amõ Magûeá suí
Alegrando todas as velhas,Gûaibĩ moesãîa mbá,Aîmomara'a kunhãtubá,Gûaîbĩ moesãîa mbá
Alegrando todas as velhas,Gûaîbĩ moesãîa mbá,Aîmomara'a kunhãtubá,Gûaîbĩ moesãîa mbá
Alegrando todas as velhas,Gûaîbĩ moesãîa mbá,Aîmomara'a kunhãtubá,Gûaîbĩ moesãîa mbá
velha maldosa,gûaîbĩmarã,umüan mara'ara,gûaîbĩmarã
velha muito maldosa,gûaîbĩmarã serãserã,gûaîbĩmarã serãserã,gûaîbĩmarã serãserã
"Eu sou Guaixará, bebedor de cauim",Gûaîxará kagûara ixé,Gûaîxará kaûĩ reîtyka,Gûaîxará kagûara ixé
"Eu sou Guaixará, bebedor de cauim, grande boicininga","Gûaîxará kagûara ixé, mboîtiningusu",Gûaîxará kagûara,"Gûaîxará kagûara ixé, mboîtiningusu"
"Eu sou Guaixará bebedor de cauim, grande cascavel, onça, trucidador de gente","Gûaîxará kagûara ixé, mboîtiningusu, îagûara, morapitîara","Gûaîxará, kaûĩ mboîa, turusu, apininga, tapy'yia îabé morapitîaramo","Gûaîxará kagûara ixé, mboîtiningusu, îagûara, morapitîara"
"Eu sou Guaixará bebedor de cauim, comedor de gente","Gûaîxará kagûara ixé, morûara","Aîkó 'ybá rupi'a, ybytu rupi'a","Gûaîxará kagûara ixé, morûara"
"Eu sou Guaixará bebedor de cauim, comedor de gente, queimador de gente, diabo trucidador de gente","Gûaîxará kagûara ixé, morûara, moroapŷara, anhanga morapitîara","Agûe'enhẽ abá xóû, abá ka'a, abá maranirũ","Gûaîxará kagûara ixé, morûara, moroapŷara, anhanga morapitîara"
"o que tem nome Guaixará, o chamado Guaixará",Gûaîxará seryba'e,Gûaîxará seryba'e,Gûaîxará seryba'e
Que vá Guaixará para o fogo,Gûaîxará t'osó tatápe,Embosem tatápe,Gûaîxará t'osó tatápe
Que vá Guaixará para o fogo!,Gûaîxará t'osó tatápe!,Gûaîxará rapépe nhẽ!,Gûaîxará t'osó tatápe!
lobo,guará,eíra,guará
guará da cara manchada,gûaraobanhana,gûaraobyka,gûaraobanhana
"o que toca o tambor, o tamborileiro",gûarará mopusara,giiarará,gûarará mopusara
Mesmo o que assassina na guerra (transgride o mandamento de Deus)?,Gûariniãme oporapitiba'e tiruãpe?,Gûariniãme tiruãpe erimba'e oîuká?,Gûariniãme oporapitiba'e tiruãpe?
"ajuntamento de búzios (nome antigo de Cabo Frio, RJ)",gûatapytyba,tupãoka,gûatapytyba
Estou pressionado (isto se diz quando já se está para ir),Gûebirãîari nhote aîkó,Aîepokirik,Gûebirãîari nhote aîkó
cria de seus animais,gûeîmbaba îeapyká,eíra,gûeîmbaba îeapyká
"Ao comer junto dos seus discípulos, o pão devolveu como seu corpo (Ar, Cat, 5) Kapi'ĩ sosé kó tuî, tapi'irusu karûápe  Eis que sobre o capim ele está deitado, no lugar em que a vaca come","Gûemimbo'e pyri o karûápe, miapé moîebyû gûetéramo","Gûemimbo'e pyri o karuápe, miapé moîebyû gûetéramo","Gûemimbo'e pyri o karûápe, miapé moîebyû gûetéramo"
"Ao comer junto dos seus discípulos, o pão que tomou em suas mãos devolveuo como seu corpo","Gûemimbo'e pyri o karûápe, miapé o pópe gûemiîara i moîebyû gûetéramo","Mityma pupé Jesus o boîá rerobasema, miapé rari i me'engi","Gûemimbo'e pyri o karûápe, miapé o pópe gûemiîara i moîebyû gûetéramo"
seu próprio corpo incorrupto,gûetémarane'yma,teté anhõ,gûetémarane'yma
morrendo eu,gûimanõmo,xe îekyîme,gûimanõmo
Em eu falando,Gûinhe'enga abé,Ixé nhe'enga mombegûabo,Gûinhe'enga abé
estando eu,gûitekóbo,ixé te'ĩé,gûitekóbo
"Vim para ficar de vez (isto é, para morar)",Gûitu aîur,Aîur aûîeramanhẽ gûitekóbo,Gûitu aîur
"""Vou para ir"" (isto é, vou para morar)",Gûixóbo asó,Gûixóbo asó,Gûixóbo asó
Bem à sua semelhança o fez?,Gûupikatupe i monhangi?,Gûitekóbo nhẽpe sekóû?,Gûupikatupe i monhangi?
indo eu voando,gûymaenhẽ gûixóbo,gûymaenhẽ asó,gûymaenhẽ gûixóbo
Dizendo a um canto de pássaro ou a um urro de onça que são agouros,Gûyrá koîpó îagûara nhe'enga supé morangygûana o'îabo,Gûyrá nhe'engápe koîpó ybytu ratá nhe'enga supé morangygûana o'îabo,Gûyrá koîpó îagûara nhe'enga supé morangygûana o'îabo
Dizendo que um canto de pássaro ou um urro de onça são agouros,Gûyrá koîpó îagûara nhe'enga supé morangygûana o'îabo,Gûyrá nhe'engasara koîpó ybytu ratá nhe'enga supé a'e marã i 'éû,Gûyrá koîpó îagûara nhe'enga supé morangygûana o'îabo
quando a ave bate asas,gûyrá pepekeme,gûyrá pepóbo,gûyrá pepekeme
Como que em asas de pássaro,Gûyrá pepóbo pyryb,Gûyrá peîaramo sekó mboîa,Gûyrá pepóbo pyryb
poleiro das aves,gûyrá rendaba,gûyrá rendaba,gûyrá rendaba
Os pássaros eram relativamente poucos,Gûyrá setapokang,Gûyrá setapokang,Gûyrá setapokang
Para outra coisa que não o pássaro a flecha foi,Gûyrá taté u'uba sóû,Gûyrá nhẽ u'uba sóû,Gûyrá taté u'uba sóû
pena de gavião,gûyragûasuaba,(pron recipr): 'apira; 'apira ronha; 'apira linha,gûyragûasuaba
poleiro de aves,gûyrákesaba,gtlyrá; (passarinho): guyra'i passear,gûyrákesaba
passarinho,gûyrámirĩ,aka,gûyrámirĩ
Como um galo te deitas,Gûyrasapukaîa îabé ereîetu'u,Kururuîa îabé ereîetu'u,Gûyrasapukaîa îabé ereîetu'u
"Como um galo te deitas Somente te toca alguém, imediatamente vais para o teu terreiro para cantar, teu esporão arrebentando contra ele","Gûyrásapukaîa îabé ereîetu'u Nde atõî nhote abá, aûnhenhẽ eresó nde rokápe enhe'engá, nde rapopé moboka i xupé","Kururĩ îabé ereîetu'u nde îara pé, oangabókatu","Gûyrásapukaîa îabé ereîetu'u Nde atõî nhote abá, aûnhenhẽ eresó nde rokápe enhe'engá, nde rapopé moboka i xupé"
"Herodes teria entregado este à morte, conhecendo suas maldades",Herodes meémo ikó oîme'eng te'õ supé i angaîpaba kuapa,"Herodes i moîukápotá, i angaîpaba kuapa",Herodes meémo ikó oîme'eng te'õ supé i angaîpaba kuapa
para fazer passar a hóstia em nossa boca,hóstia mongûapagûama resé asé îuru resé,îandé îurupe nhẽ monhanga,hóstia mongûapagûama resé asé îuru resé
dizer,i / 'é,i / 'é,i / 'é
fruto dela,i 'a,ybá,i 'a
Vemme à memória minha vida passada em minha terra,I 'ã i 'ang xe retãme xe rekoagûera ixébo,Aîkópotá xe retãme xe rekoagûera resé,I 'ã i 'ang xe retãme xe rekoagûera ixébo
Foram terríveis contra os malditos as flechas de São Sebastião,I abaeté muru supé São Sebastião ru'uba,I abaeté muru São Sebastião ruîtykaba,I abaeté muru supé São Sebastião ru'uba
"Foram terríveis contra os malditos as flechas de São Sebastião, com São Lourenço também","I abaeté muru supé São Sebastião ru'uba, São Lourenço pyri bé","I abaeté muru São Sebastião akanga, São Lourenço pyri bé","I abaeté muru supé São Sebastião ru'uba, São Lourenço pyri bé"
"É terrível o senhor Jesus, fazendo tremer nosso inimigo","I abaeté pa'i Îesu, îandé sumarã mondyîa","I angaîpabeté Pa'i Îesu, îandé sumarã mondyîa","I abaeté pa'i Îesu, îandé sumarã mondyîa"
É terrível para mim vêlos,I abaeté sepîaka ixébo,I abaeté sepîaka,I abaeté sepîaka ixébo
É para mim terrível vêlos,I abaeté sepîaka ixébo,I abaeté sepîaka,I abaeté sepîaka ixébo
É terrível para mim vêlos,I abaeté sepîaka ixébo,I abaeté sepîaka,I abaeté sepîaka ixébo
"Serão muito terríveis os fatos, futuramente, para os que são maus, levantandose com sua fealdade, com seus corpos escuros","I abaetékatu irã tekó i angaîpaba'e supéne, o poxy, o etéuna reropu'ama","I abaetékatu irã tekó i angaîpaba'e supéne, o poxy pyri, o etéuna resebé opûá","I abaetékatu irã tekó i angaîpaba'e supéne, o poxy, o etéuna reropu'ama"
É muito terrível meu nome,I abaetékatu xe rera,I abaetékatu xe rera,I abaetékatu xe rera
É muito medonho o diabo?,I abaetékatupe Anhanga?,I abaetékatupe Anhanga?,I abaetékatupe Anhanga?
Será muito terrível futuramente para os que são maus?,I abaetékatupe irã i angaîpaba'e supé?,I abaetékatupe irã tekó i angaîpaba'e suíne?,I abaetékatupe irã i angaîpaba'e supé?
É muitíssimo terrível cair o homem nas mãos de Deus,I abaetétekatueté Tupã pópe abá 'ara,I abaetétekatueté Tupã pópe abá 'ara,I abaetétekatueté Tupã pópe abá 'ara
É difícil para mim tentálos,I abaí xebo sa'anga,I abaí xébo sa'anga,I abaí xébo sa'anga
É difícil para mim tentálos,I abaí xébo sa'anga,I abaí xébo sa'anga,I abaí xébo sa'anga
É difícil essa língua,I abaíb aîpó nhe'enga,I abaíb aîpó nhe'enga,I abaíb aîpó nhe'enga
É terrível minha captura,I abaîté xe rembiasaba,I abaîté xe rekó,I abaîté xe rembiasaba
injuriandoo,i agûabo,aso'i,i agûabo
Permitindo sua mancebia,I agûasá repîakĩamo,I akanga t'aîpe'a,I agûasá repîakĩamo
o que é ruivo,i aîuba'e,kandabusu,i aîuba'e
Em sua cabeça batendo com aquela cana,I akanga resé a'e takûara reropûá,I py'a pupé i mombe'ukatu,I akanga resé a'e takûara reropûá
Que quebres suas cabeças,I akanga t'ereîoká,Aî'apirungá,I akanga t'ereîoká
o que é cabeçudo (como o virote),i akangagûaba'e,i akanga rasara,i apytagûaba'e
nas grandes cabeças deles,i akangusuî,i akangusuî,i akangusuî
"as porções miúdas dela, o refugo dela",i akytãmbûera,akytãmirĩ,i akytãmbûera
"Tinha também fome, tinha também sede como nós?","I ambyasy bépe, i 'useî bépe asé îabé?",I ambyasy bépe asé remi'u 'useîa bé?,"I ambyasy bépe, i 'useî bépe asé îabé?"
"o que tem fome, o faminto",i ambyasyba'e,Asé îerobîasy amõ repîakĩamo,i ambyasyba'e
"o que é circuncidado, o que tem o prepúcio cortado",i 'amopikytĩpyra,i api'aba'e,i 'amopikytĩpyra
"Detestandoos muito, tratailos muito mal","I amotare'ymetébo, perekoaíaí","I raûsupa nhẽ, i moŷrõmo","I amotare'ymetébo, perekóaíaí"
"Detestandoos muito, tratailos muito mal","I amotare'ymetébo, perekóaíaí","I raûsupa nhẽ, i moŷrõmo","I amotare'ymetébo, perekóaíaí"
o que é (ou deve ser) malquisto,i amotare'ymymbyra,i amotare'ymymbyra,i amotare'ymymbyra
para a parte traseira dele,i 'anga koty,ipó,i 'anga koty
Suas almas e seus corpos fez,I 'anga seté monhangi,I 'anga seté monhangi,I 'anga seté monhangi
"Assim que pôs sua alma em seu corpo, Deus a preservou","I 'anga seté pupé i mondepa bé, Tupã i pe'aû","I 'anga seté pupé i mondepa bé, i poraûsubáne","I 'anga seté pupé i mondepa bé, Tupã i pe'aû"
"Que suas almas caiam logo, deixando seu criador, apegandose, pois, a nós","I 'anga t'o'a taûîé, o monhangara reîá, rõ oby'a îandé resé","T'o'a esapy'a o py'a, o monhangara reîá, îandé rerobyka","I 'anga t'o'a taûîé, o monhangara reîá, rõ oby'a îandé resé"
"Querendo devorar suas almas, a noite toda não dormi, absolutamente",I 'anga 'upotá é pysaré n'akerangáî,"I py'apûera moetesabamo, pysaré ikó îepi, nipó",I 'anga 'upotá é pysaré n'akerangáî
São más essas folgadas,I angaîpá kó kena'ĩ,I abaeté ã tekó,I angaîpá kó kena'ĩ
"São maus estes teus servos, não me tratam bem","I angaîpá kó nde boîá, na xe rerekókatuî","I angaîpá kó nde boîá, xe rerekóbo ruã!","I angaîpá kó nde boîá, na xe rerekókatuî"
Ele certamente comete pecado com tua mulher,I angaîpab rakó nde remirekó resé,I angaîpabeté tenhẽ nde remirekó resé,I angaîpab rakó nde remirekó resé
Detestando sua maldade,I angaîpaba momburûabo,I angaîpaba suí osykyîébo,I angaîpaba momburûabo
Mandandoos fazer afastarse logo de suas maldades,I angaîpaba suí i moîepe'aesapy'auká,"I xupé, i angaîpaba suí, îepi nhẽ i moîa'ok o embiara suí",I angaîpaba suí i moîepe'aesapy'auká
Os pecadores que não se confessam bem,I angaîpaba'e onhemombe'ukatue'ymba'e,I angaîpaba'e n'oîmongetápotari,I angaîpaba'e onhemombe'ukatue'ymba'e
É muito má a vontade destas vossas presas,I angaîpabeté kó pe rembiá potasaba,I abaetékatu kó pe mundé,I angaîpabeté kó pe rembiá potasaba
Erra muito o homem que se fica fazendo pajé?,I angaîpabetépe abá onhemopaîépaîébo?,I angaîpabetépe abá kûepe i mo'arûera?,I angaîpabetépe abá onhemopaîépaîébo?
"Peca muito o homem, benzendo falsamente as pessoas?",I angaîpabetépe abá oporomongaraiba'upa?,I angaîpabetépe abá oporopore'ymamo?,I angaîpabetépe abá oporomongaraiba'upa?
Peca muito o homem que fica fazendo as pessoas fumarem?,I angaîpabetépe abá oporomopetymbûabo?,I angaîpabetépe abá oporomonhyrõba'e?,I angaîpabetépe abá oporomopetymbûabo?
Ela tem pecados variadíssimos,I angaîpáparápará,I angaîpáparápará,I angaîpáparápará
"Ela tem pecados variadíssimos, estando a tremer","Î angaîpáparápará, oîemoryryryryîa","I angaîpáparápará, oîemoryryryryîa","Î angaîpáparápará, oîemoryryryryîa"
Serão bons doravante os que eu guardo de costume,I angaturam ko'yré xe remiarõ îandune,I angaturam ko'yré xe mba'epûeramo,I angaturam ko'yré xe remiarõ îandune
"Serão bons, doravante, os que eu guardo de costume",I angaturam ko'yré xe remiarõ îandune,"I porang, ko'yré, xe remiarõ",I angaturam ko'yré xe remiarõ îandune
Eram bons na totalidade quando Deus começou a criálos?,I angaturam sykype erimba'e Tupã o monhangypyreme?,I angaturam sykype Tupã o nhemonhangypyreme?,I angaturam sykype erimba'e Tupã o monhangypyreme?
"Serão bons, doravante","I angaturam, ko'yré",I 'ã ipó kori,"I angaturam, ko'yré"
"Serão bons, doravante, os que eu guardo de costume","I angaturam, ko'yré, xe remiarõ îandune","I porang, ko'yré, xe remiarõ",I angaturam ko'yré xe remiarõ îandune
Fica aumentando sua bondade,I angaturama nhẽ oîrumõrumõ,I mba'ekatu moîerekoaíba,I angaturama nhẽ oîrumõrumõ
as boas obras dos que são bons,i angaturamba'e remimonhãngatu,i angaîpaba,i angaturamba'e remimonhãngatu
"Os corpos dos que são bons serão sutis, brilhando mais que o sol",I angaturamba'e reté i pokãngatu kûarasy sosé oberapa,I angaturamba'e reté i pokangûera kûarasy beraba sosé o poropotara resé,I angaturamba'e reté i pokãngatu kûarasy sosé oberapa
Sua muita bondade engrandecendo,I angaturãngatu moeburusûabo,I angaturãngatu moeburusûabo,I angaturãngatu moeburusûabo
Ela é boníssima porque lhe abunda a virtude,"I angaturãngatueté, tekokatu o esemõneme",I angaturãngatueté mba'ekatu rerekóbo,"I angaturãngatueté, tekokatu o esemõneme"
"Será que Nosso Senhor estava muito angustiado, longamente rezando a Ele?",I angekoaíkatu serã Îandé Îara i mongetapukûabo?,Oîkotebẽpe Îandé Îara i mongetapyramo?,I angekoaíkatu serã Îandé Îara i mongetapukûabo?
"Desesperarseão muito, certamente, os que são maus",I anhamãngatu nipó i angaîpaba'ene,I angaîpaba'e katupabẽ oîemoŷrõne,I anhamãngatu nipó i angaîpaba'ene
"E suas velhas roupas, que fizeram com elas?",I aogûerape marã serekóû?,"A'epe a'e aoba tuîba'e, marã serekóû?",I aogûerape marã serekóû?
Ele está muito maduro,I apaîé  Ele está maduro I apaîegûasu,I kakuab,I apaîé Ele está maduro I apaîegûasu
"do lado de fora dele (pex, de um vaso, de algo que tenha lado interior e exterior)",i apé koty,i apé koty,i apé koty
"do lado da superfície de, do lado de fora de (pex, de um vaso, de algo que tenha lado interior e exterior)",i apé koty,itá koty,i apé koty
o que é circuncidado,i api'aba'e,i api'aba'e,i api'aba'e
Cortaram seu prepúcio,I 'apira mondoki,Aî'apirungá,I 'apira mondoki
Hei de comer seus miolos,I aputu'uma t'a'u,Aî'abo'o,I aputu'uma t'a'u
Hei de comer seus miolos,I 'aputu'uma t'a'u,Aî'abo'o,I aputu'uma t'a'u
Todos gostaram delas,I apysyk pabẽ sesé,I apysyk pabẽ sesé,I apysyk pabẽ sesé
Eles se consolam muitíssimo,I apysykatueté,I nhe'engatãngatu,I apysykatueté
o que é cabeçudo (como o virote),i apytagûaba'e,i akanga rasara,i apytagûaba'e
o miolo dele,i apytera,i apytera,i apytera
O período anterior ao dia dele é dia em que se jejua,I 'ara renondesaba 'ara îekuakupaba,Arangûera,I 'ara renondesaba 'ara îekuakupaba
"Ele é lampeiro como uma onça, seguindo nosso rastro","I ara'a îagûara îá, îandé rakypûemboú",Ybyrá pepó îabé oberaba'e îandé rakypûemboú,"I ara'a îagûara îá, îandé rakypûemboú"
Comemoramos seu nascimento,I 'aragûera îaîmoeté,I membyra t'îambory,I 'aragûera îaîmoeté
Querendo estar em cima deles,I 'ari oîkópotá,I 'ari oîkópotá,I 'ari oîkópotá
Sobre ela morrendo Nosso Senhor para nos resgatar,I 'arybo omanõmo Îandé Îara îandé repyme'engagûera resé,I 'arybo omanõmo Îandé Îara îandé repyme'engagûera resé,I 'arybo omanõmo Îandé Îara îandé repyme'engagûera resé
São um monte os seus antigos vícios,I aty sekopoxypûera,I angaîpabeté sekóû,I aty sekopoxypûera
Renderamse os oponentes,I aûîé mu'amarûera,I aûîé mu'amarûera pé nhõ i nheme'engi,I aûîé mu'amarûera
A canoa já está pronta,I aûîé umûã ygara,I aûîé ygara,I aûîé umûã ygara
Sua cerviz ficando a esmurrar,I aŷpy atykátykábo,Iî yké kanhemagûama resé,I aŷpy atykátykábo
sua cerviz ficando a esmurrar,i aŷpy atykátykábo,i atukupé mondoka,i aŷpy atykátykábo
"É formosa, certamente, a lua","Î aysó, nipó, îasy",I porang îasy,"Î aysó, nipó, îasy"
"É formosa, certamente, a lua, vindo com sua grande face","I aysó, nipó, îasy, og obagûasu reru","Î aysó, nipó, îasy, og obagûasu reru","Î aysó, nipó, îasy, og obagûasu reru"
"É formosa, certamente, a lua, vindo com sua grande face","Î aysó, nipó, îasy, og obagûasu reru","Î aysó, nipó, îasy, og obagûasu reru","Î aysó, nipó, îasy, og obagûasu reru"
